key,description,type
Tired3,"I am tired of social distancing for leisure activities (e.g., gathering with friends/family)  (1=not at all, 7=extremely)",int
Tired4,"I am tired of delaying travel  (1=not at all, 7=extremely)",int
Tired5,"I am tired of following health recommendations against COVID (1=not at all, 7=extremely)",int
GivenUp1,"I have given up on wearing a mask (1=strongly disagree, 7=strongly agree)",int
GivenUp2,"I have given up on social distancing for routine activities (e.g., work, running errands) (1=strongly disagree, 7=strongly agree)",int
GivenUp3,"I have given up on social distancing for leisure activities (e.g., gathering with friends/family) (1=strongly disagree, 7=strongly agree)",int
GivenUp4,"I have given up on delaying travel (1=strongly disagree, 7=strongly agree)",int
GivenUp5,"I have given up on following health recommendations against COVID (1=strongly disagree, 7=strongly agree)",int
PFIaffectNeigh,Perceived interdependence - empathetic engagement with neighborhood,int
PFIaffectCountry,Perceived interdependence - empathetic engagement with country,int
PFIsharedfateNeigh,Perceived interdependence - Shared fate with neighborhood,int
PFIsharedfateCountry,Perceived interdependence - Shared fate with country,int
CovidSymptoms,Sum of covid symptoms,int
HelpGiven,Average composite of help given over past 30 days,int
HelpReceived,Average composite of help received over past 30 days,int
MutualAid,Average composite of helpg given and help received,int
EmpatheticConcern,Average composite of concern and compassionate felt during last time help was given,int
EmpatheticDistress,Average composite of troubled and distressed felt during last time help was given,int
Predictability,Average composite of perceived predictability of challenges,int
Repayment,Average composite of expectation of repayment when people give help,int
Challenges,Average composite of times people experienced challenges over the past 12 months,int
Wealth,"average composite of income, assets, and savings",int
TraitEmpathicConcern,average composite of empathic concern,int
TraitEmpathicdistress,average composite of empathic distress,int
BeliefInConspiracy,average composite of beliefs in conspiracy,int
PoliticalOrientation,average composite of sociopolitical and economic views,int
DiscountingRate,Temporal discounting,int
SmallSooner,index used to calculate temporal discounting,int
LargerSooner,index used to calculate temporal discounting,int
NoResponse,index used to calculate temporal discounting,int
RiskReduction,Average composite of tendency to engage in risk reduction ,int
RiskAvoidance,Average composite of tendency to engage in risk avoidance,int
RiskRetention,Average composite of tendency to engage in risk retention,int
RiskTransfer,Average composite of tendency to engage in risk transfer,int
RiskBehaviorComposite,Average composite of trait risk proneness,int
CFC.Future,Average composite of consideration of future consequences,int
CFC.Immediate,Average composite of consideration of immediate consequences,int
CFC.Composite,Average composite of consideration of future and immediate consequences,int
ReactanceComposite,average composite of trait reactance,int
EntitlementComposite,average composite of trait psychological entitlement,int
powerrespect,,int
b5_extroversion,"composite of big5 items: average of items 1, 2, and reverse values of 3 and 4",int
b5_agreeable,"composite of big5 items: average of items 5, 6, and reverse values of 7 and 8",int
b5_conscientious,"composite of big5 items: average of items 9, 10, and reverse values of 11 and 12",int
b5_negemotion,"composite of big5 items: average of items 13, 14, and reverse values of 15 and 16",int
b5_openness,"composite of big5 items: average of item 17 and reverse values of 18, 19 and 20",int
LifeOrientation,Sum of scores of LifeOrientation1-6 items divided by 2,int
Loneliness,sum of scores of loneliness1-20 items,int
SoPA,,int
SoNA,,int
Closure,Sum of Closure1-15 items,int
PFINeighAffectTimeFirstClick,,int
PFINeighAffectTimeLastClick,,int
PFINeighAffectTimePageSubmit,,int
PFINeighAffectTimeClickCount,,int
PFINeighFateTimeFirstClick,,int
PFINeighFateTimeLastClick,,int
PFINeighFateTimePageSubmit,,int
PFINeighFateTimeClickCount,,int
HelpNeighTimeFirstClick,,int
HelpNeighTimeLastClick,,int
HelpNeighTimePageSubmit,,int
HelpNeighTimeClickCount,,int
PFIcountryAffectTimeFirstClick,,int
PFIcountryAffectTimeLastClick,,int
PFIcountryAffectTimePageSubmit,,int
PFIcountryAffectTimeClickCount,,int
PFIcountryFateTimeFirstClick,,int
PFIcountryFateTimeLastClick,,int
PFIcountryFateTimePageSubmit,,int
PFIcountryFateTimeClickCount,,int
HelpCountryTimeFirstClick,,int
HelpCountryTimeLastClick,,int
HelpCountryTimePageSubmit,,int
HelpCountryTimeClickCount,,int
SelfEnhancement,Composite of BIDR items. Average of responses to individual items.,int
AnticipatedFoodScarcity,Composite of FoodScarcity items. Average of responses to individual items.,int
FoodInsecurity,Composite of FoodInsecurity items. Sum of responses to individual items.,int
Promotion,This is calculated from the regulatory focus scale items. Specifically: [(6-RegFocus1) + RegFocus3 + RegFocus7 +(6 - RegFocus9) + RegFocus10 + (6 - RegFocus11)] / 6,int
Prevention,This is calculated from the regulatory focus scale items. Specifically: [(6 - RegFocus2) + (6 - RegFocus4) + RegFocus5 + (6 - RegFocus6) + (6 - RegFocus8)] / 5,int
ExistentialRiskOrder,"relates to AnimalVirus and TerroristVirus questions. Group A was first asked about an animal virus and then asked the same questions for a terrorist relating virus. Group B was first asked about a terrorist relating virus and then about an animal related virus. (1=group A, 2=group B)",int
AppettitePandemic1,"Compared to before March 2020, when COVID-19 was declared a pandemic, I feel like I have been eating more than I used to before the pandemic ",int
AppettitePandemic2,"Compared to before March 2020, when COVID-19 was declared a pandemic, I feel like I need to eat more to feel full/satisfied than I used to before the pandemic (1= strongly disagree, 7= strongly agree)",int
AppettitePandemic3,"Compared to before March 2020, when COVID-19 was declared a pandemic, I feel like I have had more cravings than I used to before the pandemic (1= strongly disagree, 7= strongly agree)",int
AppettitePandemic4,"Compared to before March 2020, when COVID-19 was declared a pandemic, I feel like I have been eating less than I used to before the pandemic (1= strongly disagree, 7= strongly agree)",int
AppettitePandemic5,"Compared to before March 2020, when COVID-19 was declared a pandemic, I feel like I need to eat less to feel full/satisfied than I used to before the pandemic (1= strongly disagree, 7= strongly agree)",int
AppettitePandemic6,"Compared to before March 2020, when COVID-19 was declared a pandemic, I feel like I have had fewer cravings than I used to before the pandemic (1= strongly disagree, 7= strongly agree)",int
AppettitePastMonth1,"Over the past 30 days, I feel like I have been eating more than I normally eat  (1= strongly disagree, 7= strongly agree)",int
AppettitePastMonth2,"Over the past 30 days, I feel like I needed to eat more food to feel full/satisfied than I usually do  (1= strongly disagree, 7= strongly agree)",int
AppettitePastMonth3,"Over the past 30 days, I feel like I have had more cravings than I usually do  (1= strongly disagree, 7= strongly agree)",int
AppettitePastMonth4,"Over the past 30 days, I feel like I have been eating less than I normally eat  (1= strongly disagree, 7= strongly agree)",int
AppettitePastMonth6,"Over the past 30 days, I feel like I needed to eat less food to feel full/satisfied than I usually do  (1= strongly disagree, 7= strongly agree)",int
AppettitePastMonth7,"Over the past 30 days, I feel like I have had fewer cravings than I usually do  (1= strongly disagree, 7= strongly agree)",int
PositivePast3,"How positive do you feel about about how things were one year ago? (1= very negative, 100= very positive)",int
MoralCircles1,"In this section, we would like you to think about your capacity to help, to give, to be charitable, to show empathy, and to be generous?in other words, your capacity to behave morally. We can think about people having different amounts of moral units?like currency?that they can spend on others and can allocate to different moral circles. Some people devote all of their moral units to one circle whereas others try to divide up their moral units amongst multiple circles. Again, by moral circle, we mean the circle of people or other entities in which you are concerned about right and wrong done toward them. Please allocate your moral units as you would personally divide them in your everyday life. You can use the same or different amounts for each circle. - All of your immediate family",int
MoralCircles2,"In this section, we would like you to think about your capacity to help, to give, to be charitable, to show empathy, and to be generous?in other words, your capacity to behave morally. We can think about people having different amounts of moral units?like currency?that they can spend on others and can allocate to different moral circles. Some people devote all of their moral units to one circle whereas others try to divide up their moral units amongst multiple circles. Again, by moral circle, we mean the circle of people or other entities in which you are concerned about right and wrong done toward them. Please allocate your moral units as you would personally divide them in your everyday life. You can use the same or different amounts for each circle. - All of your extended family",int
MoralCircles3,"In this section, we would like you to think about your capacity to help, to give, to be charitable, to show empathy, and to be generous?in other words, your capacity to behave morally. We can think about people having different amounts of moral units?like currency?that they can spend on others and can allocate to different moral circles. Some people devote all of their moral units to one circle whereas others try to divide up their moral units amongst multiple circles. Again, by moral circle, we mean the circle of people or other entities in which you are concerned about right and wrong done toward them. Please allocate your moral units as you would personally divide them in your everyday life. You can use the same or different amounts for each circle. - All of your closest friends",int
MoralCircles4,"In this section, we would like you to think about your capacity to help, to give, to be charitable, to show empathy, and to be generous?in other words, your capacity to behave morally. We can think about people having different amounts of moral units?like currency?that they can spend on others and can allocate to different moral circles. Some people devote all of their moral units to one circle whereas others try to divide up their moral units amongst multiple circles. Again, by moral circle, we mean the circle of people or other entities in which you are concerned about right and wrong done toward them. Please allocate your moral units as you would personally divide them in your everyday life. You can use the same or different amounts for each circle. - All of your friends (including distant ones)",int
MoralCircles5,"In this section, we would like you to think about your capacity to help, to give, to be charitable, to show empathy, and to be generous?in other words, your capacity to behave morally. We can think about people having different amounts of moral units?like currency?that they can spend on others and can allocate to different moral circles. Some people devote all of their moral units to one circle whereas others try to divide up their moral units amongst multiple circles. Again, by moral circle, we mean the circle of people or other entities in which you are concerned about right and wrong done toward them. Please allocate your moral units as you would personally divide them in your everyday life. You can use the same or different amounts for each circle. - All of your acquaintances",int
MoralCircles6,"In this section, we would like you to think about your capacity to help, to give, to be charitable, to show empathy, and to be generous?in other words, your capacity to behave morally. We can think about people having different amounts of moral units?like currency?that they can spend on others and can allocate to different moral circles. Some people devote all of their moral units to one circle whereas others try to divide up their moral units amongst multiple circles. Again, by moral circle, we mean the circle of people or other entities in which you are concerned about right and wrong done toward them. Please allocate your moral units as you would personally divide them in your everyday life. You can use the same or different amounts for each circle. - All people you have ever met",int
MoralCircles7,"In this section, we would like you to think about your capacity to help, to give, to be charitable, to show empathy, and to be generous?in other words, your capacity to behave morally. We can think about people having different amounts of moral units?like currency?that they can spend on others and can allocate to different moral circles. Some people devote all of their moral units to one circle whereas others try to divide up their moral units amongst multiple circles. Again, by moral circle, we mean the circle of people or other entities in which you are concerned about right and wrong done toward them. Please allocate your moral units as you would personally divide them in your everyday life. You can use the same or different amounts for each circle. - All people in your country",int
MoralCircles8,"In this section, we would like you to think about your capacity to help, to give, to be charitable, to show empathy, and to be generous?in other words, your capacity to behave morally. We can think about people having different amounts of moral units?like currency?that they can spend on others and can allocate to different moral circles. Some people devote all of their moral units to one circle whereas others try to divide up their moral units amongst multiple circles. Again, by moral circle, we mean the circle of people or other entities in which you are concerned about right and wrong done toward them. Please allocate your moral units as you would personally divide them in your everyday life. You can use the same or different amounts for each circle. - All people on your continent",int
MoralCircles9,"In this section, we would like you to think about your capacity to help, to give, to be charitable, to show empathy, and to be generous?in other words, your capacity to behave morally. We can think about people having different amounts of moral units?like currency?that they can spend on others and can allocate to different moral circles. Some people devote all of their moral units to one circle whereas others try to divide up their moral units amongst multiple circles. Again, by moral circle, we mean the circle of people or other entities in which you are concerned about right and wrong done toward them. Please allocate your moral units as you would personally divide them in your everyday life. You can use the same or different amounts for each circle. - All people on all continents",int
MoralCircles10,"In this section, we would like you to think about your capacity to help, to give, to be charitable, to show empathy, and to be generous?in other words, your capacity to behave morally. We can think about people having different amounts of moral units?like currency?that they can spend on others and can allocate to different moral circles. Some people devote all of their moral units to one circle whereas others try to divide up their moral units amongst multiple circles. Again, by moral circle, we mean the circle of people or other entities in which you are concerned about right and wrong done toward them. Please allocate your moral units as you would personally divide them in your everyday life. You can use the same or different amounts for each circle. - All mammals",int
MoralCircles11,"In this section, we would like you to think about your capacity to help, to give, to be charitable, to show empathy, and to be generous?in other words, your capacity to behave morally. We can think about people having different amounts of moral units?like currency?that they can spend on others and can allocate to different moral circles. Some people devote all of their moral units to one circle whereas others try to divide up their moral units amongst multiple circles. Again, by moral circle, we mean the circle of people or other entities in which you are concerned about right and wrong done toward them. Please allocate your moral units as you would personally divide them in your everyday life. You can use the same or different amounts for each circle. - All amphibians, reptiles, mammals, fish, and birds",int
MoralCircles12,"In this section, we would like you to think about your capacity to help, to give, to be charitable, to show empathy, and to be generous?in other words, your capacity to behave morally. We can think about people having different amounts of moral units?like currency?that they can spend on others and can allocate to different moral circles. Some people devote all of their moral units to one circle whereas others try to divide up their moral units amongst multiple circles. Again, by moral circle, we mean the circle of people or other entities in which you are concerned about right and wrong done toward them. Please allocate your moral units as you would personally divide them in your everyday life. You can use the same or different amounts for each circle. - All animals on earth including paramecia and amoebae",int
MoralCircles13,"In this section, we would like you to think about your capacity to help, to give, to be charitable, to show empathy, and to be generous?in other words, your capacity to behave morally. We can think about people having different amounts of moral units?like currency?that they can spend on others and can allocate to different moral circles. Some people devote all of their moral units to one circle whereas others try to divide up their moral units amongst multiple circles. Again, by moral circle, we mean the circle of people or other entities in which you are concerned about right and wrong done toward them. Please allocate your moral units as you would personally divide them in your everyday life. You can use the same or different amounts for each circle. - All animals in the universe, including alien lifeforms",int
MoralCircles14,"In this section, we would like you to think about your capacity to help, to give, to be charitable, to show empathy, and to be generous?in other words, your capacity to behave morally. We can think about people having different amounts of moral units?like currency?that they can spend on others and can allocate to different moral circles. Some people devote all of their moral units to one circle whereas others try to divide up their moral units amongst multiple circles. Again, by moral circle, we mean the circle of people or other entities in which you are concerned about right and wrong done toward them. Please allocate your moral units as you would personally divide them in your everyday life. You can use the same or different amounts for each circle. - All living things in the universe including plants and trees",int
MoralCircles15,"In this section, we would like you to think about your capacity to help, to give, to be charitable, to show empathy, and to be generous?in other words, your capacity to behave morally. We can think about people having different amounts of moral units?like currency?that they can spend on others and can allocate to different moral circles. Some people devote all of their moral units to one circle whereas others try to divide up their moral units amongst multiple circles. Again, by moral circle, we mean the circle of people or other entities in which you are concerned about right and wrong done toward them. Please allocate your moral units as you would personally divide them in your everyday life. You can use the same or different amounts for each circle. - All natural things in the universe including inert entities such as rocks",int
MoralCircles16,"In this section, we would like you to think about your capacity to help, to give, to be charitable, to show empathy, and to be generous?in other words, your capacity to behave morally. We can think about people having different amounts of moral units?like currency?that they can spend on others and can allocate to different moral circles. Some people devote all of their moral units to one circle whereas others try to divide up their moral units amongst multiple circles. Again, by moral circle, we mean the circle of people or other entities in which you are concerned about right and wrong done toward them. Please allocate your moral units as you would personally divide them in your everyday life. You can use the same or different amounts for each circle. - All things in existence",int
TemporalFocus1,"Please indicate how often you do each of the following: I think about things from my past (1=Never, 3=Sometimes, 5=Frequently, 7=Constantly)",int
TemporalFocus2,"Please indicate how often you do each of the following: I live my life in the present (1=Never, 3=Sometimes, 5=Frequently, 7=Constantly)",int
TemporalFocus3,"Please indicate how often you do each of the following: I think about what my future has in store (1=Never, 3=Sometimes, 5=Frequently, 7=Constantly)",int
TemporalFocus4,"Please indicate how often you do each of the following: I focus on what is currently happening in my life (1=Never, 3=Sometimes, 5=Frequently, 7=Constantly)",int
TemporalFocus5,"Please indicate how often you do each of the following: I focus on my future (1=Never, 3=Sometimes, 5=Frequently, 7=Constantly)",int
TemporalFocus6,"Please indicate how often you do each of the following: I replay memories of the past in my mind (1=Never, 3=Sometimes, 5=Frequently, 7=Constantly)",int
TemporalFocus7,"Please indicate how often you do each of the following: I imagine what tomorrow will bring for me (1=Never, 3=Sometimes, 5=Frequently, 7=Constantly)",int
TemporalFocus8,"Please indicate how often you do each of the following: My mind is on the here and now (1=Never, 3=Sometimes, 5=Frequently, 7=Constantly)",int
TemporalFocus9,"Please indicate how often you do each of the following: I reflect on what has happened in my life (1=Never, 3=Sometimes, 5=Frequently, 7=Constantly)",int
TemporalFocus10,"Please indicate how often you do each of the following: I think about where I am today (1=Never, 3=Sometimes, 5=Frequently, 7=Constantly)",int
TemporalFocus11,"Please indicate how often you do each of the following: I think back to my earlier days (1=Never, 3=Sometimes, 5=Frequently, 7=Constantly)",int
TemporalFocus12,"Please indicate how often you do each of the following: I think about times to come (1=Never, 3=Sometimes, 5=Frequently, 7=Constantly)",int
CurrentEmotion1,"To what extent to do you currently feel each of the following emotions? Happy (1=Not at all, 7=A lot)",int
CurrentEmotion2,"To what extent to do you currently feel each of the following emotions? Angry (1=Not at all, 7=A lot)",int
CurrentEmotion3,"To what extent to do you currently feel each of the following emotions? Afraid (1=Not at all, 7=A lot)",int
CurrentEmotion4,"To what extent to do you currently feel each of the following emotions? Joyfful (1=Not at all, 7=A lot)",int
CurrentEmotion5,"To what extent to do you currently feel each of the following emotions? Anxious (1=Not at all, 7=A lot)",int
CurrentEmotion6,"To what extent to do you currently feel each of the following emotions? Sad (1=Not at all, 7=A lot)",int
CurrentEmotion7,"To what extent to do you currently feel each of the following emotions? Stimulated, excited, alert, awake (1=Not at all, 7=A lot)",int
CurrentEmotion8,"To what extent to do you currently feel each of the following emotions? Relaxed, calm (1=Not at all, 7=A lot)",int
CurrentEmotion9,"To what extent to do you currently feel each of the following emotions? Bored (1=Not at all, 7=A lot)",int
BeforeEmotion1,"To what extent to did you feel each of the following emotions before the lockdown in 2020? Happy (1=Not at all, 7=A lot)",int
BeforeEmotion2,"To what extent to did you feel each of the following emotions before the lockdown in 2020? Angry (1=Not at all, 7=A lot)",int
BeforeEmotion3,"To what extent to did you feel each of the following emotions before the lockdown in 2020? Afraid (1=Not at all, 7=A lot)",int
BeforeEmotion4,"To what extent to did you feel each of the following emotions before the lockdown in 2020? Joyfful (1=Not at all, 7=A lot)",int
BeforeEmotion5,"To what extent to did you feel each of the following emotions before the lockdown in 2020? Anxious (1=Not at all, 7=A lot)",int
BeforeEmotion6,"To what extent to did you feel each of the following emotions before the lockdown in 2020? Sad (1=Not at all, 7=A lot)",int
BeforeEmotion7,"To what extent to did you feel each of the following emotions before the lockdown in 2020? Stimulated, excited, alert, awake (1=Not at all, 7=A lot)",int
BeforeEmotion8,"To what extent to did you feel each of the following emotions before the lockdown in 2020? Relaxed, calm (1=Not at all, 7=A lot)",int
BeforeEmotion9,"To what extent to did you feel each of the following emotions before the lockdown in 2020? Bored (1=Not at all, 7=A lot)",int
AgentVScomm1,"How important is each of the following kinds of goals to you personally? Power (1=Not at all important, 7=Extremely important)",int
AgentVScomm2,"How important is each of the following kinds of goals to you personally? Helping others (1=Not at all important, 7=Extremely important)",int
AgentVScomm3,"How important is each of the following kinds of goals to you personally? Recognition (1=Not at all important, 7=Extremely important)",int
AgentVScomm4,"How important is each of the following kinds of goals to you personally? Serving humanity (1=Not at all important, 7=Extremely important)",int
AgentVScomm5,"How important is each of the following kinds of goals to you personally? Achievement  (1=Not at all important, 7=Extremely important)",int
AgentVScomm6,"How important is each of the following kinds of goals to you personally? Serving community  (1=Not at all important, 7=Extremely important)",int
AgentVScomm7,"How important is each of the following kinds of goals to you personally? Mastery  (1=Not at all important, 7=Extremely important)",int
AgentVScomm8,"How important is each of the following kinds of goals to you personally? Working with people  (1=Not at all important, 7=Extremely important)",int
AgentVScomm9,"How important is each of the following kinds of goals to you personally? Self-promotion  (1=Not at all important, 7=Extremely important)",int
AgentVScomm10,"How important is each of the following kinds of goals to you personally? Connection with others  (1=Not at all important, 7=Extremely important)",int
AgentVScomm11,"How important is each of the following kinds of goals to you personally? Independence (1=Not at all important, 7=Extremely important)",int
AgentVScomm12,"How important is each of the following kinds of goals to you personally? Attending to others (1=Not at all important, 7=Extremely important)",int
AgentVScomm13,"How important is each of the following kinds of goals to you personally? Individualism (1=Not at all important, 7=Extremely important)",int
AgentVScomm14,"How important is each of the following kinds of goals to you personally? Caring for others (1=Not at all important, 7=Extremely important)",int
AgentVScomm15,"How important is each of the following kinds of goals to you personally? Status (1=Not at all important, 7=Extremely important)",int
AgentVScomm16,"How important is each of the following kinds of goals to you personally? Intimacy (1=Not at all important, 7=Extremely important)",int
AgentVScomm17,"How important is each of the following kinds of goals to you personally? Focus on the self (1=Not at all important, 7=Extremely important)",int
AgentVScomm18,"How important is each of the following kinds of goals to you personally? Spiritual rewards (1=Not at all important, 7=Extremely important)",int
AgentVScomm19,"How important is each of the following kinds of goals to you personally? Success (1=Not at all important, 7=Extremely important)",int
AgentVScomm20,"How important is each of the following kinds of goals to you personally? Financial rewards (1=Not at all important, 7=Extremely important)",int
AgentVScomm21,"How important is each of the following kinds of goals to you personally? Self-direction (1=Not at all important, 7=Extremely important)",int
AgentVScomm22,"How important is each of the following kinds of goals to you personally? Demonstrating skill/competence (1=Not at all important, 7=Extremely important)",int
AgentVScomm23,"How important is each of the following kinds of goals to you personally? Competition (1=Not at all important, 7=Extremely important)",int
Status1,"Please indicate the extent to which each statement accurately describes you by writing the appropriate number from the scale below in the space provided. Members of my peer group respect and admire me. (1=Not at all, 4=Somewhat, 7=Very much)",int
Status2,"Please indicate the extent to which each statement accurately describes you by writing the appropriate number from the scale below in the space provided. Members of my peer group do NOT want to be like me. (1=Not at all, 4=Somewhat, 7=Very much)",int
Status3,"Please indicate the extent to which each statement accurately describes you by writing the appropriate number from the scale below in the space provided.I enjoy having control over others. (1=Not at all, 4=Somewhat, 7=Very much)",int
Status4,"Please indicate the extent to which each statement accurately describes you by writing the appropriate number from the scale below in the space provided. Others always expect me to be successful. (1=Not at all, 4=Somewhat, 7=Very much)",int
Status5,"Please indicate the extent to which each statement accurately describes you by writing the appropriate number from the scale below in the space provided. I often try to get my own way regardless of what others may want. (1=Not at all, 4=Somewhat, 7=Very much)",int
Status6,"Please indicate the extent to which each statement accurately describes you by writing the appropriate number from the scale below in the space provided. Others do NOT value my opinion. (1=Not at all, 4=Somewhat, 7=Very much)",int
Status7,"Please indicate the extent to which each statement accurately describes you by writing the appropriate number from the scale below in the space provided. I am willing to use aggressive tactics to get my way. (1=Not at all, 4=Somewhat, 7=Very much)",int
Status8,"Please indicate the extent to which each statement accurately describes you by writing the appropriate number from the scale below in the space provided. I am held in high esteem by those I know. (1=Not at all, 4=Somewhat, 7=Very much)",int
Status9,"Please indicate the extent to which each statement accurately describes you by writing the appropriate number from the scale below in the space provided. I try to control others rather than permit them to control me. (1=Not at all, 4=Somewhat, 7=Very much)",int
Status10,"Please indicate the extent to which each statement accurately describes you by writing the appropriate number from the scale below in the space provided. I do NOT have a forceful or dominant personality. (1=Not at all, 4=Somewhat, 7=Very much)",int
Status11,"Please indicate the extent to which each statement accurately describes you by writing the appropriate number from the scale below in the space provided. Others know it is better to let me have my way. (1=Not at all, 4=Somewhat, 7=Very much)",int
Status12,"Please indicate the extent to which each statement accurately describes you by writing the appropriate number from the scale below in the space provided. I do NOT enjoy having authority over other people. (1=Not at all, 4=Somewhat, 7=Very much)",int
Status13,"Please indicate the extent to which each statement accurately describes you by writing the appropriate number from the scale below in the space provided. My unique talents and abilities are recognized by others. (1=Not at all, 4=Somewhat, 7=Very much)",int
Status14,"Please indicate the extent to which each statement accurately describes you by writing the appropriate number from the scale below in the space provided. I am considered an expert on some matters by others. (1=Not at all, 4=Somewhat, 7=Very much)",int
Status15,"Please indicate the extent to which each statement accurately describes you by writing the appropriate number from the scale below in the space provided. Others seek my advice on a variety of matters. (1=Not at all, 4=Somewhat, 7=Very much)",int
Status16,"Please indicate the extent to which each statement accurately describes you by writing the appropriate number from the scale below in the space provided. Some people are afraid of me. (1=Not at all, 4=Somewhat, 7=Very much)",int
Status17,"Please indicate the extent to which each statement accurately describes you by writing the appropriate number from the scale below in the space provided. Others do NOT enjoy hanging out with me. (1=Not at all, 4=Somewhat, 7=Very much)",int
Hope1,"""Read each item carefully. Using the scale shown below, please select the number that best describes how you think about yourself right now and put that number in the blank provided. 

Please take a few moments to focus on yourself and what is going on in your life at this moment. Once you have this """"here and now"""" set, go ahead and answer each item according to the following scale: If I should find myself in a jam, I could think of many ways to get out of it. (1=Definitely false, 2=Mostly false, 3=Somewhat false, 4=Slightly false, 5=Slightly true, 6=Somewhat true, 7=Mostly true, 8=Definitely true)""",int
Hope2,"""Read each item carefully. Using the scale shown below, please select the number that best describes how you think about yourself right now and put that number in the blank provided. 

Please take a few moments to focus on yourself and what is going on in your life at this moment. Once you have this """"here and now"""" set, go ahead and answer each item according to the following scale: At the present time, I am energetically pursuing my goals. (1=Definitely false, 2=Mostly false, 3=Somewhat false, 4=Slightly false, 5=Slightly true, 6=Somewhat true, 7=Mostly true, 8=Definitely true)""",int
Hope3,"""Read each item carefully. Using the scale shown below, please select the number that best describes how you think about yourself right now and put that number in the blank provided. 

Please take a few moments to focus on yourself and what is going on in your life at this moment. Once you have this """"here and now"""" set, go ahead and answer each item according to the following scale: There are lots of ways around any problem that I am facing now. (1=Definitely false, 2=Mostly false, 3=Somewhat false, 4=Slightly false, 5=Slightly true, 6=Somewhat true, 7=Mostly true, 8=Definitely true)""",int
Hope4,"""Read each item carefully. Using the scale shown below, please select the number that best describes how you think about yourself right now and put that number in the blank provided. 

Please take a few moments to focus on yourself and what is going on in your life at this moment. Once you have this """"here and now"""" set, go ahead and answer each item according to the following scale: Right now I see myself as being pretty successful. (1=Definitely false, 2=Mostly false, 3=Somewhat false, 4=Slightly false, 5=Slightly true, 6=Somewhat true, 7=Mostly true, 8=Definitely true)""",int
Hope5,"""Read each item carefully. Using the scale shown below, please select the number that best describes how you think about yourself right now and put that number in the blank provided. 

Please take a few moments to focus on yourself and what is going on in your life at this moment. Once you have this """"here and now"""" set, go ahead and answer each item according to the following scale: I can think of many ways to reach my current goals. (1=Definitely false, 2=Mostly false, 3=Somewhat false, 4=Slightly false, 5=Slightly true, 6=Somewhat true, 7=Mostly true, 8=Definitely true)""",int
Hope6,"""Read each item carefully. Using the scale shown below, please select the number that best describes how you think about yourself right now and put that number in the blank provided. 

Please take a few moments to focus on yourself and what is going on in your life at this moment. Once you have this """"here and now"""" set, go ahead and answer each item according to the following scale: At this time, I am meeting the goals that I have set for myself(1=Definitely false, 2=Mostly false, 3=Somewhat false, 4=Slightly false, 5=Slightly true, 6=Somewhat true, 7=Mostly true, 8=Definitely true)""",int
Flourishing1,"Overall, how satisfied are you with life as a whole these days? (1=Not satisfied at all, 11=Completely satisfied)",int
Flourishing2,"In general, how happy or unhappy do you usually feel? (1=Extremely unhappy, 11=Extremely happy)",int
Flourishing3,"In general, how would you rate your physical health? (1=Poor, 11=Excellent)",int
Flourishing4,"How would you rate your overall mental health? (1=Poor, 11=Excellent)",int
Flourishing5,"Overall, to what extent do you feel the things you do in your life are worthwhile? (1=Not at all worthwhile, 11=Completely worthwhile)",int
Flourishing6,"I understand my purpose in life. (1=Strongly disagree, 11=Strongly agree)",int
Flourishing7,"I always act to promote good in all circumstances, even in difficult and challenging situations. (1=Not true of me, 11=Completely true of me)",int
Flourishing8,"I am always able to give up some happiness now for greater happiness later. (1=Not true of me, 11=Completely true of me)",int
Flourishing9,"I am content with my friendships and relationships. (1=Strongly disagree, 11=Strongly agree)",int
Flourishing10,"My relationships are as satisfying as I would want them to be. (1=Strongly disagree, 11=Strongly agree)",int
Flourishing11,"How often do you worry about being able to meet normal monthly living expenses? (1=Worry all of the time, 11=Do not ever worry)",int
Flourishing12,"How often do you worry about safety, food, or housing? (1=Worry all of the time, 11=Do not ever worry)",int
Dominance,"Composite of status items: average of items 3, 5, 7, 9, 10, 11, 12, 16",int
Prestige,"Composite of status items: average of items 1, 2, 4, 6, 8, 13, 14, 15, 17",int
AgenticGoal,"composite of AgentVScomm items: average of items 1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 20, 21, 22, 23",int
CommunalGoal,"composite of AgentVScomm items: average of items 2, 4, 6, 8, 10, 12, 14, 16, 18",int
PastFocus,"composite of TemporalFocus items: sum of items 1, 6, 9, 11",int
PresentFocus,"composite of TemporalFocus items: sum of items 2, 4, 8, 10",int
FutureFocus,"composite of TemporalFocus items: sum of items 3, 5, 7, 12",int
HopeAgency,"composite of hope items: sum of items 2, 4, 6",int
HopePathways,"composite of hope items: sum of items 1, 3, 5",int
StateHopeTotal,composite of hope items: sum of all items,int
RecentContactsInfect,How many people do you personally know who have been diagnosed by a physician or tested positive for COVID-19 during the last two months? Please enter a whole number.,int
PerceptionRiskNow,"How likely do you think it is that you will become infected with COVID-19 at this point? (1= Not at all, 7= Extremely)",int
InfectionSeverityNow,"How severe do you expect your symptoms to be if you become infected with COVID-19 at this point? (1= Not at all severe, 7= Extremely severe)",int
Efficacy1,"When I am with others I can express myself openly (0=not at all confident, 10=absolutely confident)",int
Efficacy2,"When I am with others I can be tough (0=not at all confident, 10=absolutely confident)",int
